 ,Area,Mean,Min,Max,Perim.,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,5234,255,255,255,335.581,0.584,117.414,502,46,144.009,72.000,1.661,0.602,0.933
2,945,255,255,255,141.841,0.590,48.021,73,45,121.373,31.000,1.444,0.693,0.865
3,54,255,255,255,30.627,0.723,10.630,493,56,48.814,8.356,1.299,0.770,0.812
4,72,255,255,255,47.012,0.409,13.928,374,56,158.962,9.153,1.380,0.725,0.709
5,59,255,255,255,42.527,0.410,11.402,282,67,74.745,9.604,1.179,0.849,0.728
6,98,255,255,255,48.770,0.518,14.866,389,57,132.274,11.455,1.234,0.810,0.737
7,73,255,255,255,46.527,0.424,14.213,447,60,129.289,11.314,1.179,0.848,0.646
8,69,255,255,255,45.941,0.411,12.806,458,72,38.660,10.000,1.264,0.791,0.715
9,61,255,255,255,40.527,0.467,14.318,496,78,77.905,8.000,1.720,0.581,0.726
10,58,255,255,255,36.627,0.543,12.369,481,77,75.964,8.000,1.446,0.692,0.734
11,111,255,255,255,53.598,0.486,17.804,390,68,141.843,12.348,1.637,0.611,0.755
12,61,255,255,255,35.799,0.598,12.728,405,81,45.000,8.344,1.444,0.693,0.819
13,98,255,255,255,47.698,0.541,16.401,491,80,142.431,11.000,1.508,0.663,0.726
14,63,255,255,255,34.870,0.651,12.806,459,80,141.340,9.000,1.307,0.765,0.792
15,193,255,255,255,75.154,0.429,21.587,445,86,166.608,15.617,1.448,0.691,0.785
16,52,255,255,255,34.627,0.545,11.402,187,115,105.255,8.719,1.148,0.871,0.722
17,140,255,255,255,62.669,0.448,21.954,501,119,120.069,12.748,1.821,0.549,0.753
18,72,255,255,255,40.284,0.558,13.038,511,131,57.529,10.590,1.125,0.889,0.742
19,65,255,255,255,38.870,0.541,16.279,202,147,47.490,7.442,2.593,0.386,0.760
20,67,255,255,255,40.527,0.513,14.765,348,160,61.699,8.746,1.605,0.623,0.724
21,138,255,255,255,51.113,0.664,17.720,212,163,16.390,11.508,1.564,0.639,0.844
22,69,255,255,255,43.113,0.466,12.806,232,163,141.340,9.000,1.280,0.781,0.789
23,134,255,255,255,64.083,0.410,18.248,227,184,80.538,13.000,1.374,0.728,0.755
24,4759,255,255,255,382.375,0.409,105.119,279,172,124.144,68.210,1.556,0.643,0.889
25,68,255,255,255,43.698,0.447,14.213,416,180,50.711,9.866,1.601,0.625,0.657
26,72,255,255,255,43.456,0.479,15.000,402,180,36.870,10.000,1.481,0.675,0.735
27,69,255,255,255,40.870,0.519,14.866,207,175,109.654,9.371,1.564,0.639,0.771
28,65,255,255,255,43.113,0.439,14.765,106,201,61.699,9.923,1.696,0.589,0.660
29,54,255,255,255,39.799,0.428,11.705,168,197,19.983,7.761,1.568,0.638,0.740
30,162,255,255,255,59.113,0.583,20.125,476,195,116.565,13.461,1.500,0.667,0.876
31,101,255,255,255,55.355,0.414,20.616,159,197,157.166,8.202,2.893,0.346,0.724
32,53,255,255,255,35.213,0.537,12.649,85,202,18.435,7.000,1.712,0.584,0.736
33,57,255,255,255,33.698,0.631,13.454,144,198,131.987,7.071,2.136,0.468,0.745
34,55,255,255,255,38.042,0.478,13.342,579,198,102.995,7.000,2.288,0.437,0.733
35,76,255,255,255,48.770,0.402,14.560,105,202,105.945,10.817,1.142,0.875,0.673
36,145,255,255,255,57.841,0.545,21.932,583,202,133.152,11.276,1.971,0.507,0.806
37,61,255,255,255,38.870,0.507,15.297,160,211,11.310,7.000,1.957,0.511,0.758
38,202,255,255,255,77.841,0.419,24.698,569,207,121.759,14.000,1.656,0.604,0.748
39,54,255,255,255,38.042,0.469,12.042,192,216,41.634,8.598,1.373,0.729,0.720
40,63,255,255,255,38.870,0.524,14.318,146,228,77.905,8.352,1.845,0.542,0.724
41,59,255,255,255,28.385,0.920,11.402,583,215,127.875,7.778,1.375,0.727,0.908
42,53,255,255,255,36.870,0.490,12.083,343,223,24.444,8.713,1.359,0.736,0.721
43,61,255,255,255,43.113,0.412,14.560,588,234,74.055,9.839,1.260,0.793,0.632
44,62,255,255,255,36.284,0.592,12.207,161,224,145.008,9.363,1.366,0.732,0.770
45,51,255,255,255,33.213,0.581,12.530,192,221,118.610,9.000,1.145,0.873,0.713
46,121,255,255,255,59.841,0.425,16.279,153,222,100.620,12.999,1.290,0.775,0.710
47,98,255,255,255,43.698,0.645,16.279,477,232,10.620,9.246,1.858,0.538,0.800
48,239,255,255,255,78.083,0.493,24.083,478,235,138.366,19.010,1.376,0.727,0.773
49,54,255,255,255,34.142,0.582,14.318,472,232,114.775,5.523,2.624,0.381,0.824
50,95,255,255,255,46.870,0.543,15.620,546,239,140.194,11.068,1.344,0.744,0.798
51,50,255,255,255,33.799,0.550,13.342,535,253,77.005,6.000,1.882,0.531,0.806
52,66,255,255,255,41.698,0.477,15.000,288,241,126.870,8.069,2.141,0.467,0.698
53,117,255,255,255,50.770,0.570,16.125,522,255,60.255,12.000,1.248,0.801,0.801
54,96,255,255,255,51.355,0.457,14.866,180,248,160.346,10.686,1.416,0.706,0.774
55,57,255,255,255,35.456,0.570,13.454,278,257,41.987,8.485,1.633,0.613,0.760
56,69,255,255,255,43.113,0.466,12.649,591,260,71.565,10.000,1.233,0.811,0.719
57,77,255,255,255,42.770,0.529,15.297,486,256,168.690,8.683,2.030,0.493,0.762
58,66,255,255,255,37.456,0.591,12.207,487,271,34.992,8.791,1.304,0.767,0.820
59,110,255,255,255,58.426,0.405,19.313,515,265,111.251,11.000,1.509,0.663,0.719
60,114,255,255,255,50.527,0.561,17.720,134,274,16.390,11.000,1.473,0.679,0.794
61,71,255,255,255,40.284,0.550,13.000,527,278,67.380,9.683,1.372,0.729,0.772
62,64,255,255,255,44.527,0.406,14.866,335,278,19.654,8.854,2.114,0.473,0.656
63,277,255,255,255,88.711,0.442,29.069,184,271,130.815,18.860,1.667,0.600,0.782
64,92,255,255,255,45.456,0.560,14.866,243,285,42.274,12.000,1.336,0.749,0.742
65,52,255,255,255,37.456,0.466,13.000,160,291,67.380,7.000,1.552,0.644,0.754
66,60,255,255,255,32.627,0.708,11.705,224,281,109.983,9.000,1.353,0.739,0.805
67,64,255,255,255,42.770,0.440,15.652,258,284,116.565,7.867,2.230,0.449,0.727
68,52,255,255,255,39.113,0.427,11.662,296,284,120.964,8.000,1.278,0.783,0.800
69,85,255,255,255,43.355,0.568,12.649,217,298,71.565,11.314,1.026,0.975,0.802
70,53,255,255,255,38.042,0.460,12.042,267,290,131.634,8.558,1.359,0.736,0.693
71,77,255,255,255,41.941,0.550,14.866,73,305,47.726,9.430,1.817,0.550,0.778
72,63,255,255,255,37.113,0.575,13.454,276,299,131.987,8.400,1.748,0.572,0.797
73,153,255,255,255,62.669,0.490,19.799,127,301,135.000,14.700,1.217,0.821,0.801
74,132,255,255,255,52.770,0.596,19.698,140,305,156.038,11.000,1.642,0.609,0.838
75,69,255,255,255,38.042,0.599,13.416,372,319,63.435,7.967,1.885,0.530,0.793
76,75,255,255,255,48.184,0.406,13.892,334,324,30.256,11.424,1.238,0.808,0.670
77,52,255,255,255,38.284,0.446,11.402,357,318,142.125,8.974,1.092,0.915,0.754
78,104,255,255,255,55.012,0.432,14.765,172,326,151.699,12.691,1.321,0.757,0.725
79,128,255,255,255,62.669,0.410,17.464,531,324,103.241,13.244,1.270,0.787,0.746
80,53,255,255,255,29.213,0.780,12.042,311,325,138.366,7.690,1.656,0.604,0.828
81,65,255,255,255,38.527,0.550,13.601,295,338,36.027,9.707,1.379,0.725,0.756
82,75,255,255,255,45.698,0.451,13.038,156,344,57.529,10.491,1.178,0.849,0.743
83,146,255,255,255,64.912,0.435,17.804,185,349,51.843,14.483,1.195,0.837,0.789
84,50,255,255,255,32.627,0.590,12.806,547,336,141.340,7.034,1.917,0.522,0.794
85,79,255,255,255,36.042,0.764,14.422,468,337,146.310,9.192,1.647,0.607,0.840
86,139,255,255,255,57.012,0.537,20.616,118,348,22.834,11.686,1.858,0.538,0.770
87,52,255,255,255,35.799,0.510,12.042,382,349,48.366,9.000,1.268,0.789,0.732
88,180,255,255,255,73.255,0.422,20.248,527,359,57.095,14.000,1.314,0.761,0.802
89,279,255,255,255,90.912,0.424,26.926,500,347,158.199,14.687,1.908,0.524,0.834
90,52,255,255,255,38.870,0.432,11.705,147,342,109.983,8.000,1.491,0.671,0.743
91,82,255,255,255,36.870,0.758,13.601,471,353,17.103,9.540,1.543,0.648,0.845
92,146,255,255,255,57.355,0.558,17.804,303,349,141.843,14.000,1.162,0.861,0.841
93,55,255,255,255,32.627,0.649,10.817,459,352,123.690,8.944,1.193,0.838,0.791
94,295,255,255,255,94.912,0.412,35.355,497,365,8.130,17.503,2.616,0.382,0.737
95,71,255,255,255,45.698,0.427,14.213,384,366,50.711,10.956,1.263,0.792,0.703
96,75,255,255,255,36.627,0.703,14.866,486,362,19.654,8.000,1.816,0.551,0.857
97,133,255,255,255,57.941,0.498,22.204,475,363,144.162,11.649,1.820,0.549,0.749
98,60,255,255,255,30.971,0.786,11.402,165,367,142.125,8.000,1.198,0.835,0.889
99,82,255,255,255,47.941,0.448,14.318,402,393,102.095,10.000,1.699,0.589,0.749
